[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,ShaneDPhillips,Los Angeles
[],I got a dissertation completion grant from an outside foundation this week. It has to be routed through my universi… https://t.co/6GGdFCAdzI,mirielmargaret,United States
[],Check out Kids of Mount Sinai!  This is a preschool/daycare/before &amp; aftercare child enrichment center!  They are a… https://t.co/DPWbKB03B3,MacKidMtSinai,"Mount Sinai, NY"
[],"RT @halimellams: The 2 yr old, his mum, his dad, siblings, the doctor that birth him, the owner of the daycare, the family of the owner of…",MayokunK,"Abuja, Nigeria"
[],Everybody catching these hands. EVERYBODY!!!!,Da_One_Rod,"South West Houston, TX "
[],"@Noahpinion So housing, healthcare (community rating, the A.M.A., tax incentives that distort), and now even daycar… https://t.co/nNQFnsFHp1",HamrickPaul,
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,BakerMikeRomeo,
[],RT @KnowItAllDoll: This is why I don’t wanna put the twins in daycare. I would kill everybody in there. https://t.co/xVVnBz0LFj,zellevae,AZ
[],America today: we hate other people and also hate building things.,ShaneDPhillips,Los Angeles
[],did maddox get sick,evaateveldahll,"Wetumpka, AL"
[],@zaythejap I’m sure you tried so was pressing charges against the daycare an option? And if so I hope they all go to jail,Thisfuckin_guy,My location?🅱️🅾️ℹ️👊🏼🖕🏼
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,Twinn0912,
[],@sharsamp One of my babies of over a year is leaving the daycare I work at. Swear you get way more attached to thes… https://t.co/aIOniwUu1g,devansmarshall,good ole rocky top
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,MichaelDFarren,"Washington, DC"
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,itiolaakingbola,"Washington, DC"
[],hellllll no. I work at a daycare and there’s NO fucking excuse for this shit. 100% never should’ve happened.,gearnss,"Livonia, MI"
[],"Why can't we have neighborhood daycares?

“we need more daycare, but the question is, does it belong in this neighb… https://t.co/c6WG7hmwHi",msiliski,San Francisco
[],I hate stuff like this. This is why I never trusted anyone w/my girls. Daycare scares TF outta me.,Mandykinnz,CA
[],"RT @TataCompanies: Throwback to the time in 1886, when we were the first and only Indian company to start a daycare and primary classes for…",POORNAYYA,"Bengaluru South, India"
[],See this is why I’m not gone play them daycare games. I’ll fuck every staff member up about MINE &amp; end up in jail,Nekiraa,"Atlanta, GA"
[],RT @kasheeeez: Y'all really hella cute it's crazy how she left my kids At daycare to be with you on my day but y'all cute https://t.co/KYnW…,nattydsoccer,"Mountain View, CA"
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,LeandreBenion,"St Paul, MN"
[],RT @Oddthekreatorr: See.. nah. This is why my kid ain’t in daycare. I’d catch a quick charge https://t.co/aXxOfFpOnW,phuckcarlos,black beverly hills
[],@__crownmeasia @TheAliciaMoore I would only do it if I absolutely had to put my children in daycare. But I’d try to… https://t.co/Qn5aKjsQGa,LadyPooh_XoXo,Wherever The Wind Blows
[],I got a dissertation completion grant from an outside foundation this week. They have to route it through my univer… https://t.co/KyArhO85bF,mirielmargaret,United States
[],It’s on sight at everyone at that daycare even they babies,_DOPEITSHUGO,
[],Rudy had his first day at doggy daycare today 😭,bayebayee,"Boston, MA"
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,LoralynHegland,
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,stephenjudkins,"Portland, OR"
[],RT @Brielynn13: Ummmm i just put the secret life of pets on for the kids in the daycare and WHY DIDNT I KNOW WELCOME TO NEW YORK PLAYED FOR…,onlytswift13,México 🇲🇽
[],Proposal: anyone who objects to new daycare businesses cannot collect Social Security paid for by the future wages… https://t.co/4x0s1M6yxV,flanaganagain_,"Minneapolis, MN"
[],Love it!!!!  Please follow I follow back. Need to get contact for new podcast show!!! My other account Twitter acco… https://t.co/mZQUbMA98D,DalitaMckinney,Spain right now!
[],I’m opening up a daycare and that’s mf final !,TrillfamHatch,
[],RT @jayELLcee_: I am 100% anti-daycare. My child will not be in attendance. Cus listennnnnnnn https://t.co/CPmq1XIsd0,TheRavieWay_,"Charlotte, NC"
['Tata'],"RT @rajrad: #Tata Not just a family. Not just a brand name. A legacy that has shaped India, Indians and now shaping the world. Proud to hav…",SPVarma2000,India/Germany
[],Finish school become a RN .. open up my daycare all before 25 👩🏼‍⚕️👩‍👩‍👧‍👦🏢,arielangeleak,
[],If only the daycare was in somd other neighborhood...,mnolangray,KY ➡ DC ➡ NYC
[],THIS IS WHY MY KID WILL NEVER GO TO DAYCARE.,ssaltyysydd,"Nampa, ID"
